issuer_name,market_value,conviction_score,transaction_code,voting_shares,confidence_score
NVIDIA,250000000,95,P,1200000,98
Microsoft,220000000,92,P,1100000,96
Amazon,210000000,90,S,1050000,94
Apple,200000000,88,P,1000000,93
Alphabet,180000000,85,S,950000,91
Meta,175000000,87,P,920000,92
Tesla,160000000,82,S,850000,89
Broadcom,145000000,84,P,780000,90
Netflix,120000000,80,S,700000,87
Adobe,110000000,79,P,650000,86
Salesforce,105000000,78,P,620000,85
Oracle,98000000,76,S,600000,84
AMD,95000000,77,P,590000,85
Palantir,90000000,81,P,570000,88
Snowflake,85000000,74,S,540000,82
