institution_id,institution_name,company_name,ticker,sector,filing_date,shares_held,market_value,portfolio_weight,conviction_score,investment_discretion,sole_voting_shares,shared_voting_shares,total_voting_shares,whale_flag,signal
1001,BlackRock Inc,NVIDIA Corp,NVDA,Technology,2025-02-07,12500000,9000000000,8.4,96.2,SOLE,12500000,0,12500000,YES,STRONG BUY
1002,Vanguard Group,Microsoft Corp,MSFT,Technology,2025-02-07,18000000,7400000000,7.8,94.1,SOLE,18000000,0,18000000,YES,STRONG BUY
1003,Fidelity Investments,Amazon.com Inc,AMZN,Consumer Discretionary,2025-02-07,22000000,3800000000,6.5,SOLE,22000000,0,22000000,YES,BUY
1004,State Street Corp,Apple Inc,AAPL,Technology,2025-02-07,15000000,2900000000,5.7,SOLE,15000000,0,15000000,YES,BUY
1005,Berkshire Hathaway,Bank of America,BAC,Financials,2025-02-07,950000000,31000000000,12.1,SOLE,950000000,0,950000000,YES,STRONG BUY
1006,Bridgewater Associates,Alphabet Inc,GOOGL,Communication Services,2025-02-07,4200000,620000000,4.1,SOLE,4200000,0,4200000,NO,BUY
1007,Renaissance Technologies,Meta Platforms,META,Communication Services,2025-02-07,2500000,1300000000,4.6,SOLE,2500000,0,2500000,NO,BUY
1008,Tiger Global Management,Tesla Inc,TSLA,Consumer Discretionary,2025-02-07,1800000,360000000,3.8,SOLE,1800000,0,1800000,NO,WATCHLIST
1009,Citadel Advisors,Advanced Micro Devices,AMD,Technology,2025-02-07,3200000,540000000,3.9,SOLE,3200000,0,3200000,NO,BUY
1010,Coatue Management,Palantir Technologies,PLTR,Technology,2025-02-07,5100000,145000000,2.9,SOLE,5100000,0,5100000,NO,BUY
1011,T Rowe Price Group,Netflix Inc,NFLX,Communication Services,2025-02-07,1100000,670000000,3.2,SOLE,1100000,0,1100000,NO,BUY
1012,ARK Investment Management,Roku Inc,ROKU,Technology,2025-02-07,2200000,180000000,5.4,SOLE,2200000,0,2200000,NO,WATCHLIST
1013,BlackRock Inc,Johnson & Johnson,JNJ,Healthcare,2025-02-07,4700000,740000000,2.7,SOLE,4700000,0,4700000,NO,HOLD
1014,Vanguard Group,Pfizer Inc,PFE,Healthcare,2025-02-07,8100000,230000000,1.9,SOLE,8100000,0,8100000,NO,HOLD
1015,Fidelity Investments,Intel Corp,INTC,Technology,2025-02-07,6200000,270000000,1.8,SOLE,6200000,0,6200000,NO,REDUCE
1016,State Street Corp,Cisco Systems,CSCO,Technology,2025-02-07,7300000,390000000,2.3,SOLE,7300000,0,7300000,NO,HOLD
1017,Berkshire Hathaway,Coca-Cola Co,KO,Consumer Staples,2025-02-07,400000000,25000000000,10.8,SOLE,400000000,0,400000000,YES,STRONG BUY
1018,Bridgewater Associates,Procter & Gamble,PG,Consumer Staples,2025-02-07,2400000,390000000,2.2,SOLE,2400000,0,2400000,NO,HOLD
1019,Renaissance Technologies,JPMorgan Chase,JPM,Financials,2025-02-07,3100000,580000000,3.5,SOLE,3100000,0,3100000,NO,BUY
1020,Citadel Advisors,Walmart Inc,WMT,Consumer Staples,2025-02-07,4400000,710000000,3.8,SOLE,4400000,0,4400000,NO,BUY
